Name 		 No. Moons 		 Orbital Period  		 Earth Radius 		 Jupiter Radius 		 Planet Mass 		 Planet Density 		 Equilibrium Temperature 		 Stellar Effective Temperature 		 Stellar Radius 		 Stellar Luminosity 		 Impact Parameter
Kepler-395 c		0		34.9894475		1.25								264		3735		0.4				0
Kepler-438 b		0		35.23319		1.12		0.1								3748		0.52		-1.357		0
Kepler-1410 b		0		60.86616955												4031.25						
Kepler-442 b		0		112.303136		1.3								241		4401		0.59				0
Kepler-560 b		0		18.477659		2.42								348		3726		0.48				0
Kepler-62 e		0		122.3863812		1.73								265		4797		0.65				0
Kepler-1544 b		0		168.811174		1.83								256		4893		0.76				0
Kepler-155 c		0		52.6615836		1.76								271		3985		0.54				0
Kepler-235 e		0		46.183669		2.22		0.198								4255		0.55				0
Kepler-436 b		0		64.001151		1.9								271		4299		0.51				0
Kepler-1455 b		0		49.2768448		1.75								271		3899		0.53				0
Kepler-69 c		0		242.46712		1.74								286		5637		0.94				0
Kepler-1606 b		0		196.435224		2.07		0.185								5422		0.86				
Kepler-1552 b		0		184.771853		2.47		0.22								5202		0.78				
Kepler-22 b		0		289.8622		2.1								250		5510		0.85				0
Kepler-443 b		0		177.668663		2.32								233		4721		0.7				0
Kepler-1058 b		0		110.96546		2.72		0.243								4644		0.69				
Kepler-26 e		0		46.82767725		2.13								276		3879		0.54				0
Kepler-705 b		0		56.05602601												3631		0.55		-1.319		
Kepler-61 b		0		59.87756		2.15		0.192						273		4017		0.62				1
Kepler-991 b		0				2.744		0.245								4318		0.65				
Kepler-1540 b		0		125.4131177		2.3								238		4366		0.64				0
Kepler-1362 b		0		136.205626		2.6		0.232								4857		0.74				
Kepler-439 b		0		178.140456		2.33								284		5592		0.78				0
Kepler-1533 b		0				4.271		0.381								6320		1.76				
Kepler-309 c		0		105.3564685												4714		0.77		-0.574		
Kepler-441 b		0		207.247959		1.93								194		4243		0.63				0
Kepler-186 f		0		129.9425112												3876		0.55		-1.215		
Kepler-174 d		0		247.354265		2.1								194		4590		0.59				0
Kepler-1593 b		0		174.509835		1.91								187		4366		0.46				0
Kepler-296 e		0		34.14176909																		
Kepler-452 b		0		384.843		1.63		0.145						265		5757		1.11				0
Kepler-62 f		0		267.282521		1.43								207		4926		0.66				0
Kepler-1649 b		0		8.68910764		0.49								211		2703		0.12				0
Kepler-296 f		0		63.33828		1.61								241		3862		0.5				0
Kepler-440 b		0		101.1114976		1.47								201		3813		0.48				0
Kepler-1229 b		0		86.828989		1.12								196		3724		0.41				0
Kepler-442 b		0		112.303136		1.3								241		4401		0.59				0
Kepler-1229 b		0		86.828989		1.12								196		3724		0.41				0
Kepler-62 f		0		267.282521		1.43								207		4926		0.66				0
Kepler-186 f		0		129.9425112												3876		0.55		-1.215		
Kepler-438 b		0		35.23319		1.12		0.1								3748		0.52		-1.357		0
Kepler-62 e		0		122.3863812		1.73								265		4797		0.65				0
Kepler-1544 b		0		168.811174		1.83								256		4893		0.76				0
Kepler-283 c		0		92.749023		38.67								321		5189		0.72				0
Kepler-1410 b		0		60.86616955												4031.25						
Kepler-705 b		0		56.05602601												3631		0.55		-1.319		
Kepler-1606 b		0		196.435224		2.07		0.185								5422		0.86				
Kepler-1090 b		0		198.680179		2.51								288		5403		0.91				0
Kepler-1552 b		0		184.771853		2.47		0.22								5202		0.78				
Kepler-1540 b		0		125.4131177		2.3								238		4366		0.64				0
Kepler-298 d		0		77.4740724		2.89								291		4549		0.65				0
Kepler-155 c		0		52.6615836		1.76								271		3985		0.54				0
Kepler-560 b		0		18.477659		2.42								348		3726		0.48				0
Kepler-577 b		0		25.69581456		1.7								314		3787		0.48				0
Kepler-186 f		0		129.9425112												3876		0.55		-1.215		
Kepler-62 e		0		122.3863812		1.73								265		4797		0.65				0
Kepler-62 f		0		267.282521		1.43								207		4926		0.66				0
Kepler-235 e		0		46.183669		2.22		0.198								4255		0.55				0
Kepler-705 b		0		56.05602601												3631		0.55		-1.319		
Kepler-737 b		0		28.59915399		1.88								295		3750		0.46				0
Kepler-267 d		0				2.35		0.21								3868		0.55		-1.229		
Kepler-283 c		0		92.749023		38.67								321		5189		0.72				0
Kepler-296 d		0		19.85028349																		
Kepler-296 f		0		63.33828		1.61								241		3862		0.5				0
Kepler-296 e		0		34.14176909																		
Kepler-309 c		0		105.3564685												4714		0.77		-0.574		
Kepler-1229 b		0		86.828989		1.12								196		3724		0.41				0
Kepler-395 c		0		34.9894475		1.25								264		3735		0.4				0
Kepler-1410 b		0		60.86616955												4031.25						
Kepler-1649 b		0		8.68910764		0.49								211		2703		0.12				0
Kepler-1455 b		0		49.2768448		1.75								271		3899		0.53				0
Kepler-438 b		0		35.23319		1.12		0.1								3748		0.52		-1.357		0
Kepler-1512 b		0		20.35972599		1.18		0.105								4372		0.67				
Kepler-439 b		0		178.140456		2.33								284		5592		0.78				0
Kepler-1544 b		0		168.811174		1.83								256		4893		0.76				0
Kepler-440 b		0		101.1114976		1.47								201		3813		0.48				0
Kepler-1593 b		0		174.509835		1.91								187		4366		0.46				0
Kepler-441 b		0		207.247959		1.93								194		4243		0.63				0
Kepler-442 b		0		112.303136		1.3								241		4401		0.59				0
Kepler-452 b		0		384.843		1.63		0.145						265		5757		1.11				0
